Security Code,Security Id,Security Name,Group,Industry,Instrument
500002,ABB,ABB India Limited,A ,Heavy Electrical Equipment,Equity
500003,AEGISLOG,AEGIS LOGISTICS LTD.,A ,Oil Marketing & Distribution,Equity
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,A ,Auto Parts & Equipment,Equity
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,X ,Pharmaceuticals,Equity
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,A ,Housing Finance ,Equity
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,X ,Commodity Chemicals,Equity
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,B ,Realty,Equity
500014,UTIQUE,Utique Enterprises Ltd,X ,Finance (including NBFCs),Equity
500016,ARUNAHTEL,ARUNA HOTELS LTD.,XT,Hotels,Equity
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,A ,Textiles,Equity
500023,ASIANHOTNR,Asian Hotels (North) Limited,B ,Hotels,Equity
500027,ATUL,ATUL LTD.,A ,Specialty Chemicals,Equity
500028,ATVPR,ATV PROJECTS INDIA LTD.,XT,Construction & Engineering,Equity
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,Household Appliances,Equity
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,A ,Sugar,Equity
500033,FORCEMOT,FORCE MOTORS LTD.-$,A ,Cars & Utility Vehicles,Equity
500034,BAJFINANCE,Bajaj Finance Limited,A ,Finance (including NBFCs),Equity
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,Sugar,Equity
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,Auto Parts & Equipment,Equity
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,A ,Paper & Paper Products,Equity
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,A ,Sugar,Equity
500042,BASF,BASF INDIA LTD.,A ,Specialty Chemicals,Equity
500043,BATAINDIA,BATA INDIA LTD.,A ,Footwear,Equity
500048,BEML,BEML LTD.,A ,Commercial Vehicles,Equity
500049,BEL,BHARAT ELECTRONICS LTD.,A ,Defence,Equity
